City,Number,Salary,Latitude,Longitude,
"Menlo Park, CA",3184,156320,37.454072,-122.176738,"37.454072, -122.176738"
"Palo Alto, CA",4572,142692,37.444786,-122.16067,"37.444786, -122.160670"
"Mountain View, CA",9625,141767,37.389811,-122.081526,"37.389811, -122.081526"
"San Francisco, CA",19769,135091,37.779379,-122.418433,"37.779379, -122.418433"
"Sunnyvale, CA",12472,132485,37.371428,-122.038679,"37.371428, -122.038679"
"Santa Clara, CA",6508,131597,37.355742,-121.954982,"37.355742, -121.954982"
"San Jose, CA",11662,126621,37.337207,-121.887082,"37.337207, -121.887082"
"Seattle, WA",12334,125959,47.603776,-122.330765,"47.603776, -122.330765"
"Redmond, WA",7388,122767,47.678587,-122.130312,"47.678587, -122.130312"
"Bellevue, WA",5501,121641,47.614443,-122.19356,"47.614443, -122.193560"
"New York, NY",40501,117878,40.712982,-74.007205,"40.712982, -74.007205"
"Pleasanton, CA",2362,113973,37.657041,-121.878331,"37.657041, -121.878331"
"Fremont, CA",2545,110875,37.552329,-121.983005,"37.552329, -121.983005"
"Jersey City, NJ",4996,110696,40.717856,-74.04392,"40.717856, -74.043920"
"San Diego, CA",4328,108985,32.716744,-117.162942,"32.716744, -117.162942"
"Cambridge, MA",3067,107057,42.366823,-71.106071,"42.366823, -71.106071"
"Mclean, VA",2697,105103,38.93405,-77.177389,"38.934050, -77.177389"
"Austin, TX",9653,102682,30.264264,-97.747502,"30.264264, -97.747502"
"Washington, DC",3563,102075,38.895438,-77.031281,"38.895438, -77.031281"
"Boston, MA",8204,102046,42.360256,-71.057279,"42.360256, -71.057279"
